"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"11","2005-2006","J2","2005-08-27","SU Agen","CA Brive",19,13,"","JEAN JACQUES CRENCA","JALIL NARJISSI","PATRICK BLANCO","KIRILL KULEMIN","JEAN-MICHEL PARENT","MATTHIEU LIEVREMONT","FABRICE CULINE","GAVIDI RATUVA","NICOLAS MORLAES","JEROME MIQUEL","RUPENI CAUCAUNIBUCA","SYLVAIN MIRANDE","CORNELIUS STOLTZ","LUC LAFFORGUE","PEPITO ELHORGA","ALESSIO GALASSO","CHRISTIAN CALIFANO","SORIN SOCOL","COLIN YUKES","JEAN-BAPTISTE RUE","DAVE VAINQUEUR","JULIEN TILLOLES","PETRISOR TODERASC","FRANCO PANI","PIERRE CAPDEVIELLE","DENYS DROZDZ","JOHAN VAN ZYL","JÉRÔME BONVOISIN","SIMON AZOULAI","RENSBURG CHARL VAN","JEAN BAPTISTE PEJOINE","XAVIER SADOURNY","JOHAN DALLA RIVA","SÉBASTIEN BONETTI","LUDOVIC VALBON","FARID SID","MAXIME PETITJEAN","DAMIEN MINASSIAN","JULIEN CAMPO","YVAN MANHES","LIONEL MALLIER","YVES DONGUY","JAWAD DJOUDI","ALEXANDRE MALEYRIE","","",0,6,"SU Agen"
"12","2005-2006","J2","2005-08-27","Bourgoin","Aviron Bayonnais",37,9,"","OLIVIER MILLOUD","BENOIT CABELLO","PASCAL PEYRON","JULIEN PIERRE","PASCAL PAPE","JULIEN FRIER","AUGUSTO PETRILLI","JULIEN BONNAIRE","MICHAEL FOREST","GLENN DAVIES","NICOLAS CARMONA","JEAN FRANCOIS COUX","GUILLAUME BOUSSES","ANTHONY FOREST","ALEXANDRE PECLIER","DAVIT KHINCHAGISHVILI","ALEXIS DRIOLLET","PABLO CARDINALI","LAURENT BALUC RITTENER","ROGER RANDLE","IRAKLI GIORGADZE","DAVID VENDITTI","EDUARD COETZEE","GRANT HILL","JÉRÉMY TOMULI","CÉDRIC BERGEZ","SIULÉO LAFAIALI'I","VIATCHESLAV GRATCHEV","PHIL DAVIES","MATHIEU SIRO","HENRI VERMIS","RICHARD DOURTHE","SÉBASTIEN ROQUE","BENJAMIN LHANDE","BENJAMIN THIERY","JORGE GARCIA","CHRISTOPHE LAURENT","THIERRY CLEDA","GUILLAUME COMBES","GERARD FRASER","MIKAERA TEWHATA","","","","","",0,28,"Bourgoin"
"13","2005-2006","J2","2005-08-27","Castres Olympique","Narbonne",36,6,"","YANNICK FORESTIER","REMY VIGNEAUX","KEES MEEUWS","LIONEL NALLET","NICOLAS SPANGHERO","ROMAIN FROMENT","JULIEN PURICELLI","PAUL VOLLEY","MATHIEU BARRAU","LAURENT MARTICORENA","BRADLY FLEMING","NICOLAS RAFFAULT","ROMI ROPATI","JEAN BAPTISTE PEYRAS LOUSTALET","ROMAIN TEULET","JEREMY CASTEX","RODRIGO CAPO ORTEGA","GUILLAUME TAUSSAC","ALEXANDRE ALBOUY","LALOA MILFORD","KARIM GHEZAL","JULIEN MONTORO","JASON HOOPER","FABIEN ROFES","FRANCK TOURNAIRE","MARCO BORTOLAMI","ANDREW SPRINGGAY","FRÉDERIC MARTINEZ","CHRISTIAN LABIT","DAVID HUNTER","GREGORY MAHE","CHRISTOPHER RUIZ","JULIEN CANDELON","LIONEL MAZARS","OLIVIER BENASSIS","SYLVAIN BARTHES","THOMAS BOUQUIE","THIBAULT ALGRET","GUYLAIN BONZOLE MOLOLO","MANUEL SIERRA","JEAN-MARIE BISARO","BERTRAND BEDES","LAURENT BALUE","NICOLAS NADAU","","",0,30,"Castres Olympique"
"14","2005-2006","J2","2005-08-27","Stade Français Paris","RC Toulon",31,3,"","SYLVAIN MARCONNET","BENJAMIN KAYSER","PIETER DE VILLIERS","ARNAUD MARCHOIS","SERGIO PARISSE","CHRISTOPHE MONI","RICHARD SOWERBY","REMY MARTIN","AUGUSTIN PICHOT","JEROME FILLOL","JULIEN ARIAS","BRIAN LIEBENBERG","GEOFFROY MESSINA","LUCAS BORGES","CHRISTOPHE DOMINICI","MATHIEU BLIN","RODRIGO RONCERO","MIKE JAMES","MAURO BERGAMASCO","JULIEN SAUBADE","STEPHANE GLAS","OLIVIER SARRAMEA","SAREL JACOBUS LOUW","CAMILLE TRAVERSA","EUSEBIO GUINAZU","GERALD ORSONI","FRANCK ALAZET","GREGORY LABADZE","SHAWN VAN RENSBURG","SOANE TOEVALU","BENOÎT MARFAING","BRUNO LANCELLE","RACHID OURAK","DAVID DOUY","FRANCK COMBA","GRÉGORY TUTARD","MARTIN VICKERS-PEARSON","SYLVAIN MARTIN","PHILIP FITZGERALD","JULIO GARCIA","HAROLD KARELE","NICOLAAS SMIT","FREDERIC ARNIAUD","PATRICE TEISSEIRE","","",0,28,"Stade Français Paris"
"15","2005-2006","J3","2005-09-02","SU Agen","Biarritz Olympique PB",29,25,"","FRANCOIS GELEZ","RUPENI CAUCAUNIBUCA","CORNELIUS STOLTZ","PATRICK BLANCO","CHRISTIAN CALIFANO","ARIEL CASTELLINA","ALEXANDRE CHAZALET","DAMIEN COSTANZO","JEAN JACQUES CRENCA","FABRICE CULINE","SANTIAGO DELLAPE","PEPITO ELHORGA","DAMIEN FEVRE","ALESSIO GALASSO","KIRILL KULEMIN","LUC LAFFORGUE","YANNICK LARGUET","MATTHIEU LIEVREMONT","ARNAUD MATHET","JEROME MIQUEL","DIMITRI YACHVILI","MANUEL CARIZZA","ARAMBURU FEDERICO MARTIN","BENOIT AUGUST","DENIS AVRIL","MARC BAGET RABAROU","PETRU BALAN","GUILLAUME BERGOS","SERGE BETSEN","PHILIPPE BIDABE","SERELI BOBO","OCKERT BOYSE","NICOLAS BRUSQUE","DIDIER CHOUCHAN","DAVID COUZINET","BENJAMIN DAMBIELLE","JULIEN DUPUY","THIERRY DUSAUTOIR","THIBAULT DUVALLET","MIKAEL ETCHEVERRIA","MARTIN GAITAN","JEAN BAPTISTE GOBELET","","","","",0,4,"SU Agen"
"16","2005-2006","J3","2005-09-03","Narbonne","ASM Clermont",34,28,"","CEDRIC ROSALEN","JULIEN CANDELON","OLIVIER BENASSIS","THIBAULT ALGRET","LAURENT BALUE","SYLVAIN BARTHES","BERTRAND BEDES","JEAN-MARIE BISARO","MARCO BORTOLAMI","THOMAS BOUQUIE","CÉDRIC DESBROSSE","DWAYNE HAARE","JASON HOOPER","DAVID HUNTER","CHRISTIAN LABIT","FRÉDÉRIC LARTIGUE","GREGORY MAHE","ARNAUD MARTINEZ","FRÉDERIC MARTINEZ","LIONEL MAZARS","GUYLAIN BONZOLE MOLOLO","NICOLAS NADAU","STEPHEN JONES","JAMIE CUDMORE","ALEXANDRE AUDEBERT","DAVID BARRIER","SAM BROOMHALL","GONZALO CANALE","RAPHAËL CHANAL","JEAN-BAPTISTE DAMBIELLE","MICHEL DIEUDE","LAURENT EMMANUELLI","EMMANUEL ETIEN","ADRIEN FALIERES","ANTHONY FLOCH","PIERRE MANUEL GARCIA","JOEL KOFFI","MARIO LEDESMA AROCENA","GONZALO LONGO","JULIEN MALZIEU","TONY MARSH","PIERRE MIGNONI","BRICE MIGUEL","","","",0,6,"Narbonne"
"17","2005-2006","J3","2005-09-03","RC Toulon","Castres Olympique",9,16,"","PATRICE TEISSEIRE","SAREL JACOBUS LOUW","FRANCK ALAZET","FREDERIC ARNIAUD","BENJAMIN BASTERES","SEBASTIEN BISCIGLIA","SALIM BOUKANOUCHA","LAURENT BUCHET","OLIVIER CAISSO","JULIEN CAPDEILLAYRE","RAFAEL CARBALLO","FRANCK COMBA","NOËL CURNIER","DAVID DOUY","MOHAMMED DRIDI","ERIC ESPAGNO","PHILIP FITZGERALD","JULIO GARCIA","OLIVIER GRIMAUD","EUSEBIO GUINAZU","AUBIN HUEBER","MARTIN JAGR","ROMAIN TEULET","KEES MEEUWS","ALEXANDRE ALBOUY","DAVID ATTOUB","MATHIEU BARRAU","GUILLAUME BERNAD","ALEXANDRE BIAS","LAURENT BUSOLIN","LAURENT CADAU","RODRIGO CAPO ORTEGA","JEREMY CASTEX","PHILIP CHRISTOPHERS","YANN DELAIGUE","FLORIAN FAURE","YANN FIOR","BRADLY FLEMING","YANNICK FORESTIER","ROMAIN FROMENT","THOMAS GENEVOIS","KARIM GHEZAL","AKVSENTI GIORGADZE","CARL HOEFT","","",0,-7,"Castres Olympique"
"18","2005-2006","J3","2005-09-03","CA Brive","Aviron Bayonnais",19,19,"","MAXIME PETITJEAN","LIONEL MALLIER","SIMON AZOULAI","SÉBASTIEN BONETTI","JÉRÔME BONVOISIN","JULIEN CAMPO","PIERRE CAPDEVIELLE","RUDY CHERON","SAMUEL CHINARRO","NICOLAS COUTTET","JOHAN DALLA RIVA","JAWAD DJOUDI","YVES DONGUY","DENYS DROZDZ","PASCAL GIORDANI","FABIEN LAURENT","CEDRIC LEITE","ALEXANDRE MALEYRIE","YVAN MANHES","CLEMENT MARIENVAL","DAMIEN MINASSIAN","DAMIEN CHOULY","RICHARD DOURTHE","STÉPHANE AUSSEL","CÉDRIC BERGEZ","SÉBASTIEN ROQUE","EDUARD COETZEE","GUILLAUME COMBES","PHIL DAVIES","NICOLAS ETCHEVERRY","GERARD FRASER","CLÉMENT FROMONT","JORGE GARCIA","VIATCHESLAV GRATCHEV","STEVEN HALL","ARNAUD HEGUY","JOSHUA HEKE","GRANT HILL","ARETZ IGUINIZ","VINCENT INIGO","SIULÉO LAFAIALI'I","","","","","",0,0,"Null"
"19","2005-2006","J3","2005-09-03","Montpellier Hérault Rugby","Stade Toulousain",19,19,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,"Null"
"20","2005-2006","J3","2005-09-03","Section Paloise","Bourgoin",18,29,"","LIONEL BEAUXIS","KARL RUDZKI","ACE SOLOMONA TIATIA","OLIVIER SOURGENS","PATRICIO ALBACETE","DAVID BERDOY","FABIEN BOIROUX","ABDELLATIF BOUTATY","ROMAIN CABANNES","JEAN-EMMANUEL CASSIN","FLORIAN CAZALOT","RUDY CHARTRON-COLLIER","FABIEN CIBRAY","JEAN CHARLES CISTTACQ","BRENDON DANIEL","STÉPHANE DELPUECH","MATHIEU DOURTHE","ARNAUD EPITO","VINCENT FORGUES","PATRICK FURET","FERNANDO GUATIERI","JOHN ISAAC","ALEXANDRE PECLIER","JULIEN FRIER","NICOLAS CARMONA","GUILLAUME BOUSSES","PASCAL PAPE","DAVIT KHINCHAGISHVILI","LAURENT BALUC RITTENER","WILLIAM BONET","JULIEN BONNAIRE","NICOLAS BONTINCK","BENJAMIN BOYET","BENOIT CABELLO","MICKAEL CAMPEGGIA","PABLO CARDINALI","JOHANN CHARLON","JEAN FRANCOIS COUX","GLENN DAVIES","AURELIEN DIOTALLEVI","ALEXIS DRIOLLET","ANTHONY FOREST","MICHAEL FOREST","WILLIAM TORMO","","",0,-11,"Bourgoin"
