"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"1060","2010-2011","J21","2011-03-11","USA Perpignan","Aviron Bayonnais",25,19,"","PERRY FRESHWATER","CHARLES GELI","BENOIT BOURRUST","RIMAS ALVAREZ KAIRELIS","ROBINS TCHALE WATCHOU","GREGORY LE CORVEC","BERTRAND GUIRY","DAMIEN CHOULY","DAVID MELE","NICOLAS LAHARRAGUE","JULIEN CANDELON","RUDOLF COETZEE","DAVID MARTY","ADRIEN PLANTE","JÉROME PORICAL","JEROME SCHUSTER","KISI PULU","GUILLAUME VILACECA","GERRIE BRITZ","FLORIAN CAZENAVE","JOFFREY MICHEL","MANUEL EDMONDS","ROMAIN BRISON","ARETZ IGUINIZ","ARNAUD HEGUY","CLEMENT BAIOCCO","TROY VANDEM FLAVELL","ROSS AMI FILIPO","GUILLAUME BERNAD","ABDELLATIF BOUTATY","MARC BAGET RABAROU","CEDRIC GARCIA","BENJAMIN BOYET","JOHAN PIETERSEN","LIONEL MAZARS","THIBAULT LACROIX","SAM GERBER","JEAN BAPTISTE PEYRAS LOUSTALET","DAVID ROUMIEU","DENIS AVRIL","REMY MARTIN","JEAN JOSEPH MARMOUYET","JULIEN AUDY","SEBASTIEN FAUQUE","PIERRE LAFOND","",0,6,"USA Perpignan"
"1061","2010-2011","J21","2011-03-12","Biarritz Olympique PB","Racing 92",36,32,"","EDUARD COETZEE","BENOIT AUGUST","CAMPBELL JOHNSTONE","ERIK LUND","PELU IAN TAELE","MAGNUS LUND","SAMIU VAHAFOLAU","RAPHAEL LAKAFIA","YANN LESGOURGUES","JULIEN PEYRELONGUE","ILIKENA BOLAKORO","CHARLES GIMENEZ","MARCELO BOSCH","TAKUDZWA NGWENYA","IAIN BALSHAW","ROMAIN TERRAIN","YVAN WATREMEZ","FLORIAN FAURE","BENOIT GUYOT","LAURENT TRANIER","ARNAUD MIGNARDI","PHILIPPE BIDABE","EUSEBIO GUINAZU","JULIEN BRUGNAUT","BENJAMIN NOIROT","SALEMANE SA","KARIM GHEZAL","FRANCOIS VAN DER MERWE","JOHN LEO O","ALVARO GALINDO","JACQUES CRONJE","NICOLAS DURAND","JONATHAN WISNIEWSKI","JULIEN SAUBADE","FRANÇOIS STEYN","HENRY CHAVANCY","SERELI BOBO","BENJAMIN FALL","GREGORY ARGANESE","MIKAELE TUUGAHALA","JONE QOVU NAILIKO","BERNARD LE ROUX","MATHIEU LOREE","ALBERT JAMES VULIVULI","JUAN PABLO ORLANDI","",0,4,"Biarritz Olympique PB"
"1062","2010-2011","J21","2011-03-12","Stade Français Paris","SU Agen",22,18,"","RODRIGO RONCERO","REMI BONFILS","PEDRO LEDESMA","ALEXANDRE FLANQUART","PASCAL PAPE","ANTOINE BURBAN","PIERRE RABADAN","JUAN LEGUIZAMON","JULIEN DUPUY","LIONEL BEAUXIS","DJIBRIL CAMARA","GUILLAUME BOUSSES","MATHIEU BASTAREAUD","OLLIE PHILLIPS","HUGO SOUTHWELL","DAMIEN WEBER","DAVID ATTOUB","ARNAUD MARCHOIS","MAURO BERGAMASCO","NOEL OELSHIG","ROMAIN RAINE","MARTIN RODRIGUEZ GURRUCHAGA","RABAH SLIMANI","SEMISI TELEFONI","JALIL NARJISSI","GERT MULLER","LISIATE FAAOSO","ANDREW SPRINGGAY","JEAN MONRIBOT","ADRIAAN BADENHORST","UELENI FONO","SYLVAIN DUPUY","CONRAD BARNARD","BENJAMIN PETRE","JAMIE PETER ROBINSON","MANU AHOTAEILOA","SAIMONI VAKA","SILVERE TIAN","BRICE MACH","LAURENT CABARRY","DEWALD SENEKAL","JÉRÔME MONDOULET","ALEXI BALES","SENIO JUNIOR PELESASA","BEKA SHEKLASHVILI","",0,4,"Stade Français Paris"
"1063","2010-2011","J21","2011-03-12","Stade Toulousain","CA Brive",23,22,"","DANIEL HUMAN","ALBERTO VERNET BASUALDO","CENSUS JOHNSTON","ROMAIN MILLO CHLUSKI","PATRICIO ALBACETE","JEAN BOUILHOU","SYLVAIN NICOLAS","LOUIS PICAMOLES","FREDERIC MICHALAK","NICOLAS BEZY","RUPENI CAUCAUNIBUCA","FLORIAN FRITZ","REMI LAMERAT","VILIMONI DELASAU","CEDRIC HEYMANS","VIRGILE LACOMBE","JEAN BAPTISTE POUX","YOANN MAESTRI","RICHARD SOWERBY","TEDDY IRIBAREN","PIERRE GILLES LAKAFIA","GREGORY LAMBOLEY","BENOÎT LECOULS","VASIL KAKOVIN","JEAN PHILIPPE BONREPAUX","PATRICK BARNARD","RETIEF PHILLIPUS RUDOLPH UYS","ARNAUD MELA","ANTONIE CLAASSEN","FABIEN DOMINGO","JULIEN LE DEVEDEC","MATHIEU BELIE","SCOTT SPEDDING","ALEXIS PALISSON","FABRICE ESTEBANEZ","JAMIE NOON","RONALD COOKE","JULIEN CAMINATI","GUILLAUME RIBES","PABLO HENN","DAMIEN BROWNE","THIBAULT DUBARRY","SHAUN PERRY","GERHARD VOSLOO","PABLO CARDINALI","",0,1,"Stade Toulousain"
"1064","2010-2011","J21","2011-03-12","RC Toulon","Bourgoin",39,17,"","LAURENT EMMANUELLI","MICKAEL IVALDI","DAVIT KUBRIASHVILI","CHRISTOPHE SAMSON","JOCELINO SUTA","GEORGE SMITH","JOSEPH EL ABD","JOHANN VAN NIEKERK","FABIEN CIBRAY","FELIPE CONTEPOMI","CHRISTIAN LOAMANU","GABIRIELE LOVOBALAVU","GEOFFROY MESSINA","BENJAMIN LAPEYRE","RORY LAMONT","JEAN-CHARLES ORIOLI","SAIMONE TAUMOEPEAU","DEAN SCHOFIELD","OLIVIER MISSOUP","ROMAIN BARTHELEMY","JEREMY SINZELLE","PIERRE MIGNONI","CARL HAYMAN","OLIVIER MILLOUD","REMY VIGNEAUX","RUAAN DU PREEZ","ALBIN LOUCHARD","COENRAAD BASSON","JEREMY GUILLOT","TIMOTHY COWLEY","THOMAS GENEVOIS","MICKAEL CAMPEGGIA","MATIAS VIAZZO","JEAN FRANCOIS COUX","WILLIEM PETRUS VAN ZYL","ALEXANDRE DUMOULIN","FABIEN PERRIN","MAEL MOINOT","JULIEN JANAUDY","VINCENT PELO","EWERT WESSEL JOOSTE","YAN LABRIT","GAETAN GERMAIN","WALTER ARGOUD","SYLVAIN CHARLET","",0,22,"RC Toulon"
"1065","2010-2011","J21","2011-03-12","Stade Rochelais","Montpellier Hérault Rugby",20,16,"","PETRISOR TODERASC","FRANCO PANI","TAMATO LEUPOLU","ROBERT MOHR","JACOBUS GROBLER","ROMAIN CARMIGNANI","ROMAIN SAZY","PIULA FAASALELE","BENJAMIN FERROU","REMI TALES","FLORIAN NINARD","VINCENT ROUX","THOMAS COMBEZOU","NORMAN LIGAIRI","BENJAMIN DAMBIELLE","BENJAMIN GELEDAN","STEPHANE CLEMENT","NICOLAS DJEBAILI","THOMAS SOUCAZE DES SOUCAZE","DAMIEN NEVEU","GREGORY GOOSEN","MANOEL DALL IGNA","JONATHAN GARCIA","SEBASTIEN CHOBET","MICKAEL LADHUIE","DANIE THIART","MICKAËL DE MARCO","ALIKISIO FAKATE","JOHAN WASSERMAN","ALEX TULOU","MARC GIRAUD","BENOIT PAILLAUGUE","RAPHAEL LAGARDE","DIMITRI PELO","SYLVAIN MIRANDE","GEOFFREY DOUMAYROU","QUENTIN DOUMAYROU","BENJAMIN THIERY","JOAN CAUDULLO","GODERZI SHVELIDZE","HENDRIKUS HANCKE","KEVIN KERVAREC","JEAN MATTHIEU ALCALDE","SANTIAGO FERNANDEZ","NAMAA LELEIMALEFAGA","",0,4,"Stade Rochelais"
"1066","2010-2011","J21","2011-03-12","Castres Olympique","ASM Clermont",23,19,"","YANNICK FORESTIER","MATHIEU BONELLO","DANIEL SAAYMAN","MATTHIAS ROLLAND","IOSEFA TEKORI","IBRAHIM DIARRA","YANNICK CABALLERO","MATEMINI MASOE","ALEXANDRE ALBOUY","PIERRE BERNARD","MARC ANDREU","SEREMAIA BAIKEINUKU","JOSHUA TATUPU","YOAN AUDRIN","ROMAIN TEULET","BENJAMIN KAYSER","CARL HOEFT","SCOTT MURRAY","JAN DE BRUIN BORNMAN","THOMAS SANCHOU","PIERRE MANUEL GARCIA","MATTHIEU NICOLAS","MICHAEL COETZEE","LIONEL FAURE","TI""I PAULO","CLEMENT RIC","LOÏC JACQUET","THIBAUT PRIVAT","JAMIE CUDMORE","ALEXANDRE AUDEBERT","SIONE LAUAKI","KEVIN SENIO","TASESA LAVEA","ROBERT RUSSELL","MARIUS JOUBERT","TALAAVE GEORGE PISI","WESLEY FOFANA","ANTHONY FLOCH","FREDERIK WEPENER","RAPHAEL CHAUME","ELVIS VERMEULEN","ALEXANDRE LAPANDRY","LUDOVIC RADOSAVLJEVIC","BROCK JAMES","VINCENT DEBATY","",0,4,"Castres Olympique"
"1067","2010-2011","J22","2011-03-25","Castres Olympique","RC Toulon",18,12,"","YANNICK FORESTIER","BENJAMIN KAYSER","LUC DUCALCON","MATTHIAS ROLLAND","RODRIGO CAPO ORTEGA","MATEMINI MASOE","YANNICK CABALLERO","IOSEFA TEKORI","ALEXANDRE ALBOUY","SEREMAIA BAIKEINUKU","MARC ANDREU","PIERRE MANUEL GARCIA","JOSHUA TATUPU","YOAN AUDRIN","ROMAIN TEULET","MATHIEU BONELLO","CARL HOEFT","SCOTT MURRAY","IBRAHIM DIARRA","STEVE MALONGA","THOMAS SANCHOU","PIERRE BERNARD","MICHAEL COETZEE","LAURENT EMMANUELLI","MICKAEL IVALDI","DAVIT KUBRIASHVILI","KRISTIAN CHESNEY","DEAN SCHOFIELD","JUAN MARTIN FERNANDEZ LOBBE","GEORGE SMITH","JOHANN VAN NIEKERK","PIERRE MIGNONI","JONATHAN WILKINSON","CHRISTIAN LOAMANU","GABIRIELE LOVOBALAVU","FELIPE CONTEPOMI","RUDOLFFE WULF","RORY LAMONT","JEAN-CHARLES ORIOLI","SAIMONE TAUMOEPEAU","CHRISTOPHE SAMSON","OLIVIER MISSOUP","GEOFFROY MESSINA","BENJAMIN LAPEYRE","CARL HAYMAN","",0,6,"Castres Olympique"
"1068","2010-2011","J22","2011-03-26","CA Brive","Bourgoin",50,6,"","VASIL KAKOVIN","JEAN PHILIPPE BONREPAUX","PATRICK BARNARD","THIBAULT DUBARRY","ARNAUD MELA","GERHARD VOSLOO","SIMON AZOULAI","FABIEN DOMINGO","MATHIEU BELIE","SCOTT SPEDDING","ALEXIS PALISSON","FABRICE ESTEBANEZ","JAMIE NOON","AYITE ATAYI","JULIEN CAMINATI","BENOIT CABELLO","DAVIT KHINCHAGISHVILI","RETIEF PHILLIPUS RUDOLPH UYS","ANTONIE CLAASSEN","AGUSTIN FIGUEROLA","REGIS LESPINAS","GUILLAUME NAMY","PABLO CARDINALI","OLIVIER MILLOUD","JULIEN JANAUDY","ERWAN IAPTEFF","ALBIN LOUCHARD","COENRAAD BASSON","JEREMY GUILLOT","EWERT WESSEL JOOSTE","YAN LABRIT","JEREMY GONDRAND","MATIAS VIAZZO","JEAN FRANCOIS COUX","FABIEN PERRIN","ALEXANDRE DUMOULIN","GAETAN GERMAIN","MAEL MOINOT","REMY VIGNEAUX","VINCENT PELO","CAMILLE LEVAST","TIMOTHY COWLEY","ELOI MASSOT","DAVID JANIN","RUAAN DU PREEZ","",0,44,"CA Brive"
"1069","2010-2011","J22","2011-03-26","SU Agen","ASM Clermont",26,17,"","SEMISI TELEFONI","JALIL NARJISSI","GERT MULLER","DEWALD SENEKAL","LISIATE FAAOSO","JEAN MONRIBOT","ADRIAAN BADENHORST","OPETI FONUA","ALEXI BALES","CONRAD BARNARD","BRICE DULIN","JAMIE PETER ROBINSON","SENIO JUNIOR PELESASA","SAIMONI VAKA","SILVERE TIAN","LAURENT CABARRY","BERNARD ARSÈNE N NOMO","DAMIEN LAGRANGE","ANDREW SPRINGGAY","MAXIME MACHENAUD","MIGUEL AVRAMOVIC","KEVIN SWIRYN","BEKA SHEKLASHVILI","LIONEL FAURE","TI""I PAULO","DAVIT ZIRAKASHVILI","LOÏC JACQUET","JULIEN PIERRE","JULIEN BONNAIRE","ALEXANDRE LAPANDRY","SIONE LAUAKI","MORGAN PARRA","TASESA LAVEA","KINI MURIMURIVALU","MARIUS JOUBERT","TALAAVE GEORGE PISI","WESLEY FOFANA","BENOIT BABY","FREDERIK WEPENER","VINCENT DEBATY","ELVIS VERMEULEN","JULIEN BARDY","KEVIN SENIO","BROCK JAMES","CLEMENT RIC","",0,9,"SU Agen"
"1070","2010-2011","J22","2011-03-26","Stade Rochelais","USA Perpignan",16,34,"","PETRISOR TODERASC","FRANCO PANI","TAMATO LEUPOLU","ROBERT MOHR","JACOBUS GROBLER","ROMAIN CARMIGNANI","ROMAIN SAZY","THOMAS SOUCAZE DES SOUCAZE","BENJAMIN FERROU","REMI TALES","FLORIAN NINARD","VINCENT ROUX","THOMAS COMBEZOU","NORMAN LIGAIRI","BENJAMIN DAMBIELLE","ANDRES BORDOY","ALEXANDRE BARES","DAVID MC GOWAN","QUENTIN D ARAM DE VALADA","DAMIEN NEVEU","SEFULU GAUGAU","GREGORY GOOSEN","STEPHANE CLEMENT","JEROME SCHUSTER","GUILHEM GUIRADO","NICOLAS MAS","RIMAS ALVAREZ KAIRELIS","ROBINS TCHALE WATCHOU","BERTRAND GUIRY","DAMIEN CHOULY","HENRY TUILAGI","FLORIAN CAZENAVE","NICOLAS LAHARRAGUE","JULIEN CANDELON","RUDOLF COETZEE","FARID SID","ADRIEN PLANTE","JÉROME PORICAL","CHARLES GELI","PERRY FRESHWATER","GILLES ARNAUDIES","ROMAIN TAOFIFENUA","DAVID MELE","JOFFREY MICHEL","KISI PULU","",0,-18,"USA Perpignan"
"1071","2010-2011","J22","2011-03-26","Biarritz Olympique PB","Aviron Bayonnais",40,10,"","EDUARD COETZEE","BENOIT AUGUST","SYLVAIN MARCONNET","JEROME THION","ERIK LUND","MAGNUS LUND","IMANOL HARINORDOQUY","RAPHAEL LAKAFIA","DIMITRI YACHVILI","JULIEN PEYRELONGUE","IAIN BALSHAW","DAMIEN TRAILLE","MARCELO BOSCH","TAKUDZWA NGWENYA","DANE HAYLETT PETTY","ROMAIN TERRAIN","JAMES TAYLOR AFOA","FLORIAN FAURE","WENCESLAS LAURET","YANN LESGOURGUES","CHARLES GIMENEZ","ILIKENA BOLAKORO","CAMPBELL JOHNSTONE","PIERRE LAFOND","DAVID ROUMIEU","DENIS AVRIL","ABDELLATIF BOUTATY","ROSS AMI FILIPO","GUILLAUME BERNAD","REMY MARTIN","MARC BAGET RABAROU","CEDRIC GARCIA","BENJAMIN BOYET","SAM GERBER","LIONEL MAZARS","THIBAULT LACROIX","YOANN HUGET","JEAN BAPTISTE PEYRAS LOUSTALET","ARNAUD HEGUY","CLEMENT BAIOCCO","ROBIN LINDE","DWAYNE HAARE","JULIEN AUDY","SEBASTIEN FAUQUE","TONGA LEAAETOA","",0,30,"Biarritz Olympique PB"
"1072","2010-2011","J22","2011-03-26","Racing 92","Stade Toulousain",43,21,"","GREGORY ARGANESE","JOHANNES COETZEE","EDDY BEN AROUS","SIMON RAIWALUI","SEBASTIEN CHABAL","FABRICE CULINE","HENRY CHAVANCY","MIRCO BERGAMASCO","NICOLAS DURAND","JUAN MARTIN HERNANDEZ","KARIM GHEZAL","ANDREA MASI","JEROME FILLOL","JOHN LEO O","JULIEN JANE","JUAN PABLO ORLANDI","CLÉMENT AUVERGNAS","THEOPHILE HENNEBUISSE","FRANCOIS VAN DER MERWE","JONATHAN WISNIEWSKI","FLORIAN ROMAIN","MAXIME GAU","CAMILLE FONTBOSTIER","JEAN BAPTISTE POUX","WILLIAM SERVAT","BENOÎT LECOULS","YOANN MAESTRI","ROMAIN MILLO CHLUSKI","YANNICK NYANGA","THIERRY DUSAUTOIR","RICHARD SOWERBY","FREDERIC MICHALAK","DAVID SKRELA","MAXIME MEDARD","CLEMENT POITRENAUD","YANNICK JAUZION","VINCENT CLERC","CEDRIC HEYMANS","VIRGILE LACOMBE","DANIEL HUMAN","GREGORY LAMBOLEY","LOUIS PICAMOLES","NICOLAS BEZY","FLORIAN FRITZ","CENSUS JOHNSTON","",0,22,"Racing 92"
"1073","2010-2011","J22","2011-03-26","Montpellier Hérault Rugby","Stade Français Paris",29,23,"","SEBASTIEN CHOBET","JOAN CAUDULLO","GIORGE JGENTI","HENDRIKUS HANCKE","ALIKISIO FAKATE","JOHAN WASSERMAN","MAMUKA GORGODZE","MARC GIRAUD","JULIEN TOMAS","FRANCOIS TRINH DUC","MARTIN BUSTOS MOYANO","SANTIAGO FERNANDEZ","SETAREKI TUILEVUKA","PIERRE BERARD","BENJAMIN THIERY","FABIEN ROFES","NAMAA LELEIMALEFAGA","ALEX TULOU","MASINIVANUA MATADIGO","BENOIT PAILLAUGUE","GRANT REES","DIMITRI PELO","GODERZI SHVELIDZE","RODRIGO RONCERO","REMI BONFILS","DAVID ATTOUB","ARNAUD MARCHOIS","PASCAL PAPE","JAMES HASKELL","MAURO BERGAMASCO","PIERRE RABADAN","JULIEN DUPUY","LIONEL BEAUXIS","DJIBRIL CAMARA","GUILLAUME BOUSSES","MATHIEU BASTAREAUD","OLLIE PHILLIPS","HUGO SOUTHWELL","DAMIEN WEBER","RABAH SLIMANI","ALEXANDRE FLANQUART","ANTOINE BURBAN","NOEL OELSHIG","ROMAIN RAINE","RAYNO GERBER","",0,6,"Montpellier Hérault Rugby"
"1074","2010-2011","J23","2011-04-01","USA Perpignan","Stade Toulousain",24,25,"","KISI PULU","GUILHEM GUIRADO","NICOLAS MAS","RIMAS ALVAREZ KAIRELIS","ROBINS TCHALE WATCHOU","BERTRAND GUIRY","DAMIEN CHOULY","HENRY TUILAGI","DAVID MELE","NICOLAS LAHARRAGUE","JULIEN CANDELON","RUDOLF COETZEE","FARID SID","ADRIEN PLANTE","JÉROME PORICAL","CHARLES GELI","JEROME SCHUSTER","GUILLAUME VILACECA","OVIDIU TONITA","FLORIAN CAZENAVE","JOFFREY MICHEL","MANUEL EDMONDS","ROMAIN BRISON","JEAN BAPTISTE POUX","VIRGILE LACOMBE","CENSUS JOHNSTON","ROMAIN MILLO CHLUSKI","PATRICIO ALBACETE","JEAN BOUILHOU","SYLVAIN NICOLAS","LOUIS PICAMOLES","FREDERIC MICHALAK","DAVID SKRELA","RUPENI CAUCAUNIBUCA","CLEMENT POITRENAUD","FLORIAN FRITZ","VILIMONI DELASAU","CEDRIC HEYMANS","VICTOR PAQUET","YOHAN MONTES","YOANN MAESTRI","YANNICK NYANGA","NICOLAS BEZY","YANNICK JAUZION","DAVID TARROQUE","",0,-1,"Stade Toulousain"
"1075","2010-2011","J23","2011-04-02","RC Toulon","Stade Français Paris",38,10,"","LAURENT EMMANUELLI","SEBASTIEN BRUNO","DAVIT KUBRIASHVILI","KRISTIAN CHESNEY","DEAN SCHOFIELD","JUAN MARTIN FERNANDEZ LOBBE","GEORGE SMITH","JOHANN VAN NIEKERK","FABIEN CIBRAY","JONATHAN WILKINSON","CHRISTIAN LOAMANU","GAVIN LLOYD HENSON","GABIRIELE LOVOBALAVU","RUDOLFFE WULF","RORY LAMONT","MICKAEL IVALDI","SAIMONE TAUMOEPEAU","CHRISTOPHE SAMSON","JOSEPH EL ABD","FELIPE CONTEPOMI","BENJAMIN LAPEYRE","PIERRE MIGNONI","CARL HAYMAN","RABAH SLIMANI","DAMIEN WEBER","RAYNO GERBER","ARNAUD MARCHOIS","PASCAL PAPE","ANTOINE BURBAN","PIERRE RABADAN","SERGIO PARISSE","JULIEN DUPUY","LIONEL BEAUXIS","DJIBRIL CAMARA","GUILLAUME BOUSSES","MATHIEU BASTAREAUD","OLLIE PHILLIPS","ROMAIN RAINE","REMI BONFILS","DAVID ATTOUB","ALEXANDRE FLANQUART","JAMES HASKELL","MAURO BERGAMASCO","NOEL OELSHIG","RODRIGO RONCERO","",0,28,"RC Toulon"
"1076","2010-2011","J23","2011-04-02","CA Brive","Stade Rochelais",26,9,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,17,"CA Brive"
"1077","2010-2011","J23","2011-04-02","Aviron Bayonnais","Racing 92",26,16,"","ARETZ IGUINIZ","ARNAUD HEGUY","CLEMENT BAIOCCO","ABDELLATIF BOUTATY","ROSS AMI FILIPO","DWAYNE HAARE","REMY MARTIN","MARC BAGET RABAROU","JULIEN AUDY","BENJAMIN BOYET","SAM GERBER","LIONEL MAZARS","THIBAULT LACROIX","YOANN HUGET","JOHAN PIETERSEN","DAVID ROUMIEU","PIERRE LAFOND","ROBIN LINDE","GUILLAUME BERNAD","CEDRIC GARCIA","SEBASTIEN FAUQUE","JEAN BAPTISTE PEYRAS LOUSTALET","DENIS AVRIL","ANDREA LO CICERO","BENJAMIN NOIROT","SALEMANE SA","LIONEL NALLET","JONE QOVU NAILIKO","JOHN LEO O","ANTOINE BATTUT","JACQUES CRONJE","NICOLAS DURAND","JONATHAN WISNIEWSKI","JULIEN SAUBADE","FRANÇOIS STEYN","HENRY CHAVANCY","MIRCO BERGAMASCO","ANDREA MASI","GREGORY ARGANESE","JUAN PABLO ORLANDI","SANTIAGO DELLAPE","SEBASTIEN CHABAL","MATHIEU LOREE","DANIEL SCARBROUGH","MIKAELE TUUGAHALA","",0,10,"Aviron Bayonnais"
"1078","2010-2011","J23","2011-04-02","Bourgoin","Montpellier Hérault Rugby",27,42,"","OLIVIER MILLOUD","REMY VIGNEAUX","SYLVAIN CHARLET","CAMILLE LEVAST","COENRAAD BASSON","JULIEN FRIER","EWERT WESSEL JOOSTE","TIMOTHY COWLEY","MICHAEL FOREST","JULIEN GROS","JEAN FRANCOIS COUX","WILLIEM PETRUS VAN ZYL","DAVID JANIN","FABIEN PERRIN","GAETAN GERMAIN","JULIEN JANAUDY","ARNAUD TCHOUGONG KAMGA","ALBIN LOUCHARD","THOMAS GENEVOIS","BOGDAN LEONTE","MATIAS VIAZZO","MICKAEL CAMPEGGIA","RUAAN DU PREEZ","NAMAA LELEIMALEFAGA","JOAN CAUDULLO","GIORGE JGENTI","HENDRIKUS HANCKE","MAMUKA GORGODZE","JOHAN WASSERMAN","ALEX TULOU","MASINIVANUA MATADIGO","JULIEN TOMAS","FRANCOIS TRINH DUC","JIM NAGUSA","SANTIAGO FERNANDEZ","SETAREKI TUILEVUKA","PIERRE BERARD","MARTIN BUSTOS MOYANO","FABIEN ROFES","SEBASTIEN CHOBET","ALIKISIO FAKATE","MARC GIRAUD","BENOIT PAILLAUGUE","GRANT REES","DANIE THIART","",0,-15,"Montpellier Hérault Rugby"
"1079","2010-2011","J23","2011-04-02","ASM Clermont","Biarritz Olympique PB",41,13,"","MARTIN SCELZO","LIONEL FAURE","WILLIAM DEMOTTE","JULIEN BARDY","JULIEN BONNAIRE","JAMES TAYLOR AFOA","ROMAIN TERRAIN","CAMPBELL JOHNSTONE","JEROME THION","ERIK LUND","MAGNUS LUND","SAMIU VAHAFOLAU","FLORIAN FAURE","YANN LESGOURGUES","JULIEN PEYRELONGUE","ILIKENA BOLAKORO","CHARLES GIMENEZ","MARCELO BOSCH","TAKUDZWA NGWENYA","IAIN BALSHAW","EDUARD COETZEE","YVAN WATREMEZ","JEAN BAPTISTE ROIDOT","WENCESLAS LAURET","JEAN PASCAL BARRAQUE","PHILIPPE BIDABE","ARNAUD MIGNARDI","SYLVAIN MARCONNET","","","","","","","","","","","","","","","","","","",0,28,"ASM Clermont"
"1080","2010-2011","J23","2011-04-02","SU Agen","Castres Olympique",21,16,"","SEMISI TELEFONI","JALIL NARJISSI","GERT MULLER","DEWALD SENEKAL","LISIATE FAAOSO","JEAN MONRIBOT","ADRIAAN BADENHORST","OPETI FONUA","ALEXI BALES","CONRAD BARNARD","BRICE DULIN","JAMIE PETER ROBINSON","SENIO JUNIOR PELESASA","SAIMONI VAKA","SILVERE TIAN","LAURENT CABARRY","BERNARD ARSÈNE N NOMO","DAMIEN LAGRANGE","ANDREW SPRINGGAY","MAXIME MACHENAUD","VALENTIN COURRENT","MIGUEL AVRAMOVIC","BEKA SHEKLASHVILI","CARL HOEFT","MATHIEU BONELLO","LUC DUCALCON","MATTHIAS ROLLAND","IOSEFA TEKORI","IBRAHIM DIARRA","STEVE MALONGA","MATEMINI MASOE","ALEXANDRE ALBOUY","PIERRE BERNARD","MARC ANDREU","SEREMAIA BAIKEINUKU","YOAN AUDRIN","VINCENT INIGO","ROMAIN TEULET","BENJAMIN KAYSER","MICHAEL COETZEE","RODRIGO CAPO ORTEGA","YANNICK CABALLERO","THOMAS SANCHOU","PIERRE MANUEL GARCIA","DANIEL SAAYMAN","",0,5,"SU Agen"
"1081","2010-2011","J24","2011-04-15","Stade Rochelais","SU Agen",19,29,"","ALEXANDRE BARES","JIMMY BRAZIER","ANDRES BORDOY","QUENTIN D ARAM DE VALADA","BENJAMIN FERROU","JORDAN COSSON","ROMAIN CARMIGNANI","SEFULU GAUGAU","NICOLAS DJEBAILI","BENJAMIN DAMBIELLE","JACOBUS GROBLER","ROMAIN LACOSTE","JEROME JACQUET","JULES LE BAIL","ROMAIN SAZY","GAETAN GUYON","GREGORY GOOSEN","REMI TALES","GUILLAUME DEVADE","THOMAS COMBEZOU","NORMAN LIGAIRI","FRANCK JACOB","FRANCO PANI","SEMISI TELEFONI","JALIL NARJISSI","GERT MULLER","DEWALD SENEKAL","LISIATE FAAOSO","JEAN MONRIBOT","ANDREW SPRINGGAY","ADRIAAN BADENHORST","MAXIME MACHENAUD","CONRAD BARNARD","BRICE DULIN","SENIO JUNIOR PELESASA","MIGUEL AVRAMOVIC","SAIMONI VAKA","SILVERE TIAN","LAURENT CABARRY","BERNARD ARSÈNE N NOMO","DAMIEN LAGRANGE","UELENI FONO","SYLVAIN DUPUY","VALENTIN COURRENT","BEKA SHEKLASHVILI","",0,-10,"SU Agen"
"1082","2010-2011","J24","2011-04-16","Stade Français Paris","ASM Clermont",12,20,"","RODRIGO RONCERO","REMI BONFILS","DAVID ATTOUB","THOMAS PHILIP PALMER","PASCAL PAPE","ANTOINE BURBAN","PIERRE RABADAN","SERGIO PARISSE","JULIEN DUPUY","LIONEL BEAUXIS","DJIBRIL CAMARA","GUILLAUME BOUSSES","MATHIEU BASTAREAUD","OLLIE PHILLIPS","MARTIN RODRIGUEZ GURRUCHAGA","DAMIEN WEBER","RABAH SLIMANI","ALEXANDRE FLANQUART","JUAN LEGUIZAMON","MAURO BERGAMASCO","NOEL OELSHIG","JULES PLISSON","RAYNO GERBER","LIONEL FAURE","MARIO LEDESMA AROCENA","MARTIN SCELZO","JAMIE CUDMORE","THIBAUT PRIVAT","JULIEN BONNAIRE","ALEXANDRE AUDEBERT","ELVIS VERMEULEN","MORGAN PARRA","BROCK JAMES","JULIEN MALZIEU","GONZALO CANALE","AURELIEN ROUGERIE","KINI MURIMURIVALU","ANTHONY FLOCH","TI""I PAULO","VINCENT DEBATY","JULIEN PIERRE","SIONE LAUAKI","KEVIN SENIO","TASESA LAVEA","DAVIT ZIRAKASHVILI","",0,-8,"ASM Clermont"
